title,year,certificate,duration,genre,rating,description,stars,votes,country,show_id,director,type
A Cinderella Story,(2004),PG,95 min,"Comedy, Family, Romance",5.9,"Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.","['Mark Rosman', '| ', '    Stars:', 'Hilary Duff, ', 'Chad Michael Murray, ', 'Jennifer Coolidge, ', 'Dan Byrd']","87,840","United States, Canada",s128,Mark Rosman,Movie
6 Underground,(2019),R,128 min,"Action, Thriller",6.1,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.","['Michael Bay', '| ', '    Stars:', 'Ryan Reynolds, ', 'Mélanie Laurent, ', 'Manuel Garcia-Rulfo, ', 'Ben Hardy']","174,852",United States,s3151,Michael Bay,Movie
The Stranger,(I) (2020),TV-MA,363 min,"Crime, Drama, Mystery",7.3,Follows the lives of suburban families whose secrets and lies are made public by the appearance of a stranger.,"['Richard Armitage, ', 'Shaun Dooley, ', 'Siobhan Finneran, ', 'Jacob Dudman']","50,086",United States,s608,Bryan Bertino,Movie
The Invitation,(I) (2015),Not Rated,100 min,"Drama, Horror, Mystery",6.6,"A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions.","['Karyn Kusama', '| ', '    Stars:', 'Logan Marshall-Green, ', 'Emayatzy Corinealdi, ', 'Michiel Huisman, ', 'Tammy Blanchard']","108,509",United States,s8368,Karyn Kusama,Movie
Terrifier,(2016),Unrated,82 min,"Horror, Thriller",5.6,"On Halloween night, Tara Heyes finds herself as the obsession of a sadistic murderer known as Art the Clown.","['Damien Leone', '| ', '    Stars:', 'Jenna Kanell, ', 'Samantha Scaffidi, ', 'David Howard Thornton, ', 'Catherine Corcoran']","19,119",United States,s8170,Damien Leone,Movie
The Impossible,(2012),PG-13,114 min,"Adventure, Drama, History",7.5,The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,"['J.A. Bayona', '| ', '    Stars:', 'Naomi Watts, ', 'Ewan McGregor, ', 'Tom Holland, ', 'Oaklee Pendergast']","223,356","Spain, Thailand, United States",s1768,J.A. Bayona,Movie
The Ballad of Buster Scruggs,(2018),R,133 min,"Comedy, Drama, Musical",7.3,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.","['Ethan Coen, ', 'Joel Coen', '| ', '    Stars:', 'Tim Blake Nelson, ', 'Willie Watson, ', 'Clancy Brown, ', 'Danny McCarthy']","146,391",United States,s4386,"Joel Coen, Ethan Coen",Movie
Willy Wonka & the Chocolate Factory,(1971),G,100 min,"Family, Fantasy, Musical",7.8,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,"['Mel Stuart', '| ', '    Stars:', 'Gene Wilder, ', 'Jack Albertson, ', 'Peter Ostrum, ', 'Roy Kinnear']","200,703","United States, East Germany, West Germany",s8746,Mel Stuart,Movie
Pieces of a Woman,(2020),R,126 min,Drama,7.0,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.","['Kornél Mundruczó', '| ', '    Stars:', 'Vanessa Kirby, ', 'Shia LaBeouf, ', 'Ellen Burstyn, ', 'Iliza Shlesinger']","49,524","Canada, Hungary, United States",s1436,Kornél Mundruczó,Movie
Gerald's Game,(2017),TV-MA,103 min,"Drama, Horror, Thriller",6.5,"A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free.","['Mike Flanagan', '| ', '    Stars:', 'Carla Gugino, ', 'Bruce Greenwood, ', 'Chiara Aurelia, ', 'Carel Struycken']","108,970",United States,s5253,Mike Flanagan,Movie
Charlie's Angels,(2019),PG-13,118 min,"Action, Adventure, Comedy",4.9,"When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.","['Elizabeth Banks', '| ', '    Stars:', 'Kristen Stewart, ', 'Naomi Scott, ', 'Ella Balinska, ', 'Elizabeth Banks']","73,202","United States, Germany",s567,McG,Movie
Miraculous: Tales of Ladybug & Cat Noir,(2015– ),TV-Y7,20 min,"Animation, Action, Adventure",7.6,"Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.","['Cristina Valenzuela, ', 'Bryce Papenbrook, ', 'Keith Silverstein, ', 'Mela Lee']","11,332","France, South Korea, Japan, United States",s2963,Thomas Astruc,TV Show
Step Brothers,(2008),R,98 min,Comedy,6.9,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.,"['Adam McKay', '| ', '    Stars:', 'Will Ferrell, ', 'John C. Reilly, ', 'Mary Steenburgen, ', 'Richard Jenkins']","294,349",United States,s8088,Adam McKay,Movie
Below Her Mouth,(2016),Not Rated,94 min,"Drama, Romance",5.5,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,"['April Mullen', '| ', '    Stars:', 'Erika Linder, ', 'Natalie Krill, ', 'Sebastian Pigott, ', 'Mayko Nguyen']","12,539",Canada,s6281,April Mullen,Movie
Moonlight,(I) (2016),R,111 min,Drama,7.4,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.","['Barry Jenkins', '| ', '    Stars:', 'Mahershala Ali, ', 'Naomie Harris, ', 'Trevante Rhodes, ', 'Alex R. Hibbert']","305,932",United States,s7508,Barry Jenkins,Movie
