title,year,certificate,duration,genre,rating,description,stars,votes,country,show_id,type
44 Cats,(2018– ),TV-Y7,13 min,"Animation, Adventure, Comedy",6.0,"44 Cats is a preschool comedy series that follows the daily adventures of four cats named Lampo, Milady, Pilou, and Meatball. All of them are part of a music band called 'The Buffycats'.","['Judith Cabral, ', 'Sarah Natochenny, ', 'Keira Johnson, ', 'Joy Salaretti']",290,Italy,s325,TV Show
A Plastic Ocean,(2016),TV-14,102 min,Documentary,7.9,"Journalist Craig Leeson teams up with diver Tanya Streeter and an international team of scientists and researchers, and they travel to twenty locations around the world over the next four years to explore the fragile state of our oceans.","['Craig Leeson', '| ', '    Stars:', 'David Attenborough, ', 'Sylvia Earle, ', 'Ben Fogle, ', 'Craig Leeson']","3,092","United Kingdom, Hong Kong",s3448,Movie
The Women and the Murderer,(2021),TV-14,92 min,"Documentary, Crime",6.4,"Two brave women, a police chief and a victim's mother, make tireless efforts to find and prosecute serial killer Guy Georges, in 1990s Paris.","['Mona Achache, ', 'Patricia Tourancheau', '| ', '    Stars:', 'Anne Gautier, ', 'Hélène Frinking, ', 'Agnès Nijkamp, ', 'Martine Monteil']","1,324",France,s92,Movie
Monster Hunter: Legends of the Guild,(2021 TV Movie),TV-14,58 min,"Animation, Action, Adventure",5.1,"In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon.","['Steve Yamamoto', '| ', '    Stars:', 'Dante Basco, ', 'Erica Lindbeck, ', 'Brando Eaton, ', 'Karen Strassman']","1,312","United States, Japan",s280,Movie
Beyblade Burst,(2016– ),TV-Y7,24 min,"Animation, Action, Adventure",6.6,"Valt Aoi is a hot-blooded kid who loves to attack and wields a Beyblade named Valkyrie. His close friend Shu Kurenai is an elite Blader who is a genius but still puts in a lot of effort, and wields the Beyblade named Spriggan.","['Matt Hill, ', 'Sabrina Pitre, ', 'Adrian Petriw, ', 'Zach LeBlanc']",602,Japan,s5237,TV Show
Dave Chappelle,(2017),TV-MA,66 min,"Documentary, Comedy",8.7,"Comedian Dave Chappelle makes his triumphant return to the screen with a pair of blistering, never-before-aired specials from his personal vault.",['Dave Chappelle'],"2,851",United States,s5563,TV Show
A Little Help with Carol Burnett,(2018),TV-G,23 min,Talk-Show,6.3,"With some help from Carol Burnett, kids dish out advice to celebrities and everyday people alike in front of a live audience.","['Caleb Jeon, ', 'Robert Timothy Smith, ', 'Emmersyn Fiorentino, ', 'Rainey Spurlock']",240,United States,s4875,TV Show
Taylor Tomlinson: Quarter-Life Crisis,(2020 TV Special),TV-14,61 min,Comedy,7.4,"She's halfway through her 20s, and she's over it. Too old to party, too young to settle down, comedian Taylor Tomlinson takes aim at her life choices.","['Marcus Raboy', '| ', '    Star:', 'Taylor Tomlinson']","3,960",United States,s2850,Movie
Bon Cop Bad Cop 2,(2017),Not Rated,126 min,"Action, Comedy, Crime",6.6,A francophone S.Q. officer and an anglophone O.P.P officer reunite to investigate a large car theft ring led by an Italian mobster.,"['Alain Desrochers', '| ', '    Stars:', 'Colm Feore, ', 'Patrick Huard, ', 'Marc Beaupré, ', 'Noam Jenkins']","4,194",Canada,s5173,Movie
Yucatán,(I) (2018),TV-MA,129 min,"Adventure, Comedy, Romance",5.5,"Two white collar thieves compete fiercely against the other trying to steal millions from an old baker, that he won in the lotto.","['Daniel Monzón', '| ', '    Stars:', 'Luis Tosar, ', 'Rodrigo de la Serna, ', 'Joan Pera, ', 'Stephanie Cayo']","2,175",Spain,s4114,Movie
Shadow,(2019),TV-MA,45 min,"Action, Crime, Drama",6.5,"In Johannesburg, tough ex-cop Shadow pursues justice on his own terms and seeks to help those who are powerless to protect themselves.","['Pallance Dladla, ', 'Khathu Ramabulana, ', 'Amanda Du-Pont, ', 'Tumie Ngumla']",979,"China, Hong Kong",s3303,Movie
Goedam,(2020– ),TV-MA,10 min,"Short, Horror, Mystery",5.7,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends.","['Song Chae-Yoon, ', 'Han Su-ah, ', 'Shim So-Young, ', 'Seola']",995,South Korea,s2109,TV Show
Samurai Gourmet,(2017),TV-PG,20 min,"Adventure, Comedy",8.1,"A 60 year old retired salary-man finds new purpose in exploring the food of his neighborhood. Aided by his fantasy companion, a samurai who inspires him to boldly experience this new chapter of his life.","['Naoto Takenaka, ', 'Tetsuji Tamayama, ', 'Honami Suzuki, ', 'Hiroki Ikehara']","2,123",Japan,s5570,TV Show
Rainbow Ruby,(2016–2020),TV-Y,11 min,"Animation, Adventure, Comedy",6.5,"Rainbow Ruby comes to the rescue whenever a doll friend needs help! When Choco's heart starts to glow, she knows it's time for a magical journey into Rainbow Village. With the help of her ...                See full summary »","['Johnny Yong Bosch, ', ""Colleen O'Shaughnessey, "", 'Shannon Chan-Kent, ', 'Kate Higgins']",81,"South Korea, Canada, United States, China",s3085,TV Show
Fierce,(2020),TV-MA,118 min,"Comedy, Music",5.5,"Talent and passion for music can take one to the very top. On the way, however, there are going to be showbiz traps.","['Anna Wieczur-Bluszcz', '| ', '    Stars:', 'Julia Kaminska, ', 'Tomasz Karolak, ', 'Adrian Majewski, ', 'Maria Pakulnis']","1,266",Poland,s1607,Movie
Christiane Amanpour Sex & Love Around the World,(2018),TV-MA,1 Season,Documentary,7.3,"CNN's award-winning journalist, Christiane Amanpour travels around the world to talk with women about the rules of engagement in relationships and intimacy. In this six-part documentary ...                See full summary »",['Christiane Amanpour'],882,United States,s6478,TV Show
The American Barbecue Showdown,(2020– ),TV-G,1 Season,Reality-TV,7.1,Food competition that follows the country's best backyard smokers and competitive barbecuers as they compete for the title of American Barbecue Champion.,"['Lyric Lewis, ', 'Rutledge Wood, ', 'Melissa Cookston, ', 'Kevin Bludso']","1,239",United States,s1980,TV Show
The Gospel of John,(2014),Unrated,160 min,Drama,7.7,"The life and toils of Jesus Christ, depicted as written in the gospel of John. Narrated in English, following the New International Version of the scripture, while the actors speak in Aramaic.","['David Batty', '| ', '    Stars:', 'David Harewood, ', 'Selva Rasalingam, ', 'Mourad Zaoui, ', ""El Mahmoudi M'Barek""]",928,"United Kingdom, United States, Morocco",s8327,Movie
The Man Without Gravity,(2019),TV-14,107 min,"Comedy, Drama, Fantasy",5.8,"Oscar comes to light on a stormy night, in the hospital of a small town and immediately we understand that there is something extraordinary in him : Does not obey the law of gravity. It ...                See full summary »","['Marco Bonfanti', '| ', '    Stars:', 'Elio Germano, ', 'Michela Cescon, ', 'Elena Cotta, ', ""Silvia D'Amico""]","2,572","Italy, Belgium",s3349,Movie
Tragic Jungle,(2020),TV-MA,96 min,"Adventure, Drama, Mystery",5.6,"To escape an arranged marriage, a woman flees into the depths of the Mayan jungle, where untamed nature merges the human and the supernatural.","['Yulene Olaizola', '| ', '    Stars:', 'Indira Rubie Andrewin, ', 'Gilberto Barraza, ', 'Mariano Tun Xool, ', 'Eligio Meléndez']",971,"Mexico, France, Colombia",s751,Movie
Ben Platt Live from Radio City Music Hall,(2020 TV Special),TV-PG,85 min,Music,8.3,"Backed by a full band and a ready wit, actor Ben Platt opens up a very personal songbook onstage - numbers from his debut LP, ""Sing to Me Instead.""","['Alex Timbers, ', 'Sam Wrench', '| ', '    Stars:', 'Ben Platt, ', 'Crystal Monee Hall, ', 'Kojo Littles, ', 'Allen René Louis']",507,United States,s2495,Movie
Murder to Mercy: The Cyntoia Brown Story,(2020),TV-MA,96 min,Documentary,6.3,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",['Daniel H. Birman'],"2,818",United States,s2609,Movie
Hi Score Girl,(2018–2019),TV-PG,25 min,"Animation, Comedy, Romance",8.0,The funny and romantic misadventures of a couple of kids passionate about arcade games in 1991 Japan.,"['Kôhei Amasaki, ', 'Sayumi Suzushiro, ', 'Yûki Hirose, ', 'Satomi Arai']","2,045",Japan,s2699,TV Show
Seven in Heaven,(2018),PG-13,94 min,"Drama, Horror, Mystery",5.3,Teenagers Jude and June spend seven minutes in a locked closet and emerge in a hostile and dangerous alternate world.,"['Chris Eigeman', '| ', '    Stars:', 'Travis Tope, ', 'Haley Ramm, ', 'Dylan Everett, ', 'Jake Manley']","2,748",United States,s4529,Movie
Malibu Rescue,(2019),TV-G,70 min,"Action, Comedy, Family",5.5,A ragtag group of aspiring junior lifeguards from The Valley compete against the snobby local kids for bragging rights and the ultimate tower at Malibu beach.,"['Ricardo Hurtado, ', 'Jackie R. Jacobson, ', 'Abby Donnelly, ', 'Alkoya Brunson']","1,020",United States,s3830,Movie
Light in the Dark,(2020),TV-14,105 min,Thriller,5.6,"In the face of unspeakable pain, a couple must find a way to live and love again","['Ekene Som Mekwunye', '| ', '    Stars:', 'Doddy Abili, ', 'Bimbo Ademoye, ', 'Marie Awolaja, ', 'Saidi Balogun']",38,Nigeria,s2514,Movie
Cities of Last Things,(2018),TV-MA,106 min,"Crime, Drama, Sci-Fi",6.2,"This is a story about a common man who has extraordinary events in his mundane life. The film depicts the protagonist's turns of events in three eras, three seasons, three nights, in the same city, as told with reverse chronology.","['Wi Ding Ho', '| ', '    Stars:', 'Jack Kao, ', 'Hong-Chi Lee, ', 'Louise Grinberg, ', 'Ning Ding']","1,700","Taiwan, China, France, United States",s3671,Movie
Kid-E-Cats,(2016– ),TV-Y,5 min,"Animation, Adventure, Comedy",7.0,"Three little kittens live in a little town. Cookie, Pudding and their little sister Candy. As any kids like to play, eat sweets and investigate about things around them. Every day their inquisitive mind leads those three to new adventures.","['Alyson Leigh Rosenfeld, ', 'Kate Bristol, ', 'Teale Bishopric']",107,Russia,s154,TV Show
Zach Galifianakis: Live at the Purple Onion,(2006 TV Special),Unrated,90 min,"Documentary, Comedy",7.2,"A master of the one-liner with an absurd rambling style, Zach's sharp, resonating humor makes his show at the famed Purple Onion in San Francisco one of the funniest performances in recent comedy.","['Michael Blieden', '| ', '    Stars:', 'Zach Galifianakis, ', 'Joe Wagner, ', 'Brian Unger, ', 'Taj Jegaraj']","4,009",United States,s4081,Movie
H,(1998–2002),TV-MA,26 min,Comedy,7.4,"A group of people in a dysfunctional hospital have new challenges every day, while trying to work out love, friendship, and work.","['Jamel Debbouze, ', 'Eric Judor, ', 'Ramzy Bedia, ', 'Sophie Mounicot']","1,746",France,s2070,TV Show
Rhythm + Flow,(2019– ),TV-MA,52 min,"Music, Reality-TV",7.6,"Global superstars Cardi B, Chance the Rapper, and T.I. search for the next breakout hip-hop star.","['Cardi B, ', 'Chance the Rapper, ', 'T.I., ', 'Caleb Colossus']","1,622",United States,s3441,TV Show
Temple,(2017),TV-MA,78 min,"Adventure, Drama, Horror",3.6,"Three American tourists follow a mysterious map deep into the jungles of Japan searching for an ancient temple. When spirits entrap them, their adventure quickly becomes a horrific nightmare.","['Michael Barrett', '| ', '    Stars:', 'Logan Huffman, ', 'Natalia Warner, ', 'Brandon Sklenar, ', 'Naoto Takenaka']","5,085","Japan, United States",s5137,Movie
Edha,(2018),TV-MA,40 min,Drama,4.9,"The life of a successful designer and single mother turns upside down when she meets a mysterious man. A mixture of vengeance, passion and dark secrets looms.","['Andrés Velencoso, ', 'Brian Beacock, ', 'Dennis Smith, ', 'Heinz K. Krattiger']",648,Argentina,s4979,TV Show
Sunny Bunnies,(2015– ),TV-Y,2 Seasons,"Animation, Family",6.8,"The series focuses on 5 colored bunnies (Turbo, Big Boo, Iris, Shiny and Hopper). They are usually in Sunny Park and always have an adventure...","['Svetlana Tsimokhina, ', 'Dmitri Davidovich, ', 'Kimberly Foudy']",104,Belarus,s2239,TV Show
Kabaneri of the Iron Fortress: The Battle of Unato,(2019),TV-MA,68 min,"Animation, Action, Adventure",6.7,The film chronicles the attempt of the team to take back Unato castle.,"['Tetsurô Araki', '| ', '    Stars:', 'Tasuku Hatanaka, ', 'Sayaka Senbongi, ', 'Maaya Uchida, ', 'Toshiki Masuda']","1,283",Japan,s3520,TV Show
Six Windows in the Desert,(2020),TV-14,21 min,"Short, Adventure, Comedy",4.3,"A science fiction short film set in the seventies, tells the story of a missing airplane that crashes in an isolated desert area. After countless failed attempts by the survivors to ...                See full summary »","['Hgm Moejione Mohammed Gaber, ', 'Sohayb Godus, ', 'Mohammed Alhamdan, ', 'Zara Al-Bloushi']","3,139",Saudi Arabia,s2878,TV Show
Tell Me When,(2020),TV-MA,95 min,Comedy,5.7,"After his grandpa's passing, Mexican-American Will decides to go ahead with the plans he'd made to help him discover his roots in Mexico.","['Gerardo Gatica González', '| ', '    Stars:', 'Héctor Bonilla, ', 'Ofelia Reyes Botello, ', 'Brett Calo, ', 'Manolo Caro']","1,033",Mexico,s1003,Movie
Laddaland,(2011),Not Rated,125 min,"Drama, Horror, Mystery",6.2,"When a family moves to Laddaland, an upscale housing development with large, beautiful homes, they discover life in their new neighborhood isn't so perfect when they encounter a series of ...                See full summary »","['Sophon Sakdaphisit', '| ', '    Stars:', 'Saharat Sangkapreecha, ', 'Piyathida Woramusik, ', 'Sutatta Udomsilp, ', 'Athipich Chutiwatkajornchai']","2,338",Thailand,s7261,Movie
Sword Art Online Alternative: Gun Gale Online,(2018– ),TV-14,24 min,"Animation, Action, Adventure",6.8,"A university student tries out a VR battle royale shooter and quickly establishes herself as one of the most menacing players in the competitive scene thanks to her tiny, lightning-fast avatar LLENN.","['Tomori Kusunoki, ', 'Yôko Hikasa, ', 'Kazuyuki Okitsu, ', 'Kira Buckland']","2,395",Japan,s4145,TV Show
The Fisherman's Diary,(2020),TV-MA,143 min,Drama,6.4,"Ekah is determined to go to school in a village of fishermen where a girl child's education is considered a taboo. Her drive to break this old adage gets her embroiled with her father, Solomon's past.","['Enah Johnscott', '| ', '    Stars:', 'Kang Quintus, ', 'Faith Fidel, ', 'Cosson Chinepoh, ', 'Ramsey Nouah']",644,Cameroon,s1100,Movie
The Joel McHale Show with Joel McHale,(2018),TV-MA,30 min,Comedy,7.1,"Joel McHale, the snarky star of Community (2009), ridicules the silliest moments reality television, internet videos and TV from around the world have to offer. Each episode also features celebrity guests and a couple of sketches.","['Joel McHale, ', 'Paul Feig, ', 'Brad Stevens, ', 'Dominic DeLeo']","2,409",United States,s4772,TV Show
Here to Heart,(2018– ),TV-14,1 Season,"Drama, Romance",7.5,"After ten years of separation, a man and a woman struggle to rebuild their relationship.","['Hans Zhang, ', 'Janine Chun-Ning Chang, ', 'Chao Jing, ', 'Zhou Qi Qi']",245,China,s4484,TV Show
Kong: King of the Apes,(2016–2018),TV-Y7,2 Seasons,"Animation, Action, Adventure",5.7,"Kong is saved as a young ape by a young boy, Lucas. Lucas and his family raise kong but Lucas' twin brother is jealous and tries to get rid of Kong.","['Vincent Tong, ', 'Viv Leacock, ', 'Lee Tockar, ', 'Alessandro Juliani']",337,"United States, Japan, Canada",s4880,TV Show
Manson Family Vacation,(2015),Not Rated,84 min,"Comedy, Drama, Thriller",5.8,Two brothers tour Charles Manson murder sites. One is a devoted family man. One is devoted to The Family.,"['J. Davis', '| ', '    Stars:', 'Jay Duplass, ', 'Linas Phillips, ', 'Leonora Pitts, ', 'Adam Chernick']","3,027",United States,s5887,Movie
Yanxi Palace: Princess Adventures,(2019– ),TV-14,1 Season,Drama,5.9,Add a Plot,"['Herun Wang, ', 'Yizhe Wang, ', 'Wang Yuwei']",299,China,s3088,TV Show
Abzurdah,(2015),TV-MA,90 min,"Biography, Drama, Romance",5.4,"Cielo, a wealthy middle-class teenager, meets an older man online and falls obsessively in love. The relationship grows unstable, as she starts reaching unsustainable limits of physical and mental self-destruction.","['Daniela Goggi', '| ', '    Stars:', 'China Suárez, ', 'Esteban Lamothe, ', 'Gloria Carrá, ', 'Rafael Spregelburd']","2,063",Argentina,s6083,Movie
(Un)Well,(2020– ),TV-MA,1 Season,Documentary,6.4,"This docu-series takes a deep dive into the lucrative wellness industry, which touts health and healing. But do these wellness trends live up to their promises?",['Jennifer Julian'],"1,089",United States,s2141,TV Show
Ludo,(2015),TV-MA,90 min,"Fantasy, Horror, Thriller",2.8,"Needing a secluded place for a late-night tryst, two couples stow away in a mall after hours, but are quickly ensnared in a gruesome and deadly game.","['Qaushiq Mukherjee, ', 'Nikon', '| ', '    Stars:', 'Kamalika Banerjee, ', 'Joyraj Bhattacharya, ', 'Soumendra Bhattacharya, ', 'Ananya Biswas']",870,India,s1713,Movie
The Similars,(2015),NR,89 min,"Horror, Mystery, Sci-Fi",5.8,"On the rainy night of October 2, 1968, eight characters waiting on a remote bus station for a bus heading to Mexico City start experiencing a strange phenomenon.","['Isaac Ezban', '| ', '    Stars:', 'Gustavo Sánchez Parra, ', 'Cassandra Ciangherotti, ', 'Fernando Becerril, ', 'Humberto Busto']","4,142",Mexico,s8509,Movie
DJ Cinderella,(2019),TV-PG,95 min,"Family, Music, Romance",4.6,"After her parents divorce, Cintia moves to her aunt Helena and begins to dream of becoming a DJ. When matters of the heart will stand between her and her objectives, Cintia's career will take an unexpected turn.","['Bruno Garotti, ', 'Anita Barbosa', '| ', '    Stars:', 'Maisa Silva, ', 'Filipe Bragança, ', 'Fernanda Paes Leme, ', 'Letícia Faria Pedro']","1,091",Brazil,s3748,Movie
Norm Macdonald Has a Show,(2018),TV-MA,30 min,"Comedy, Talk-Show",8.5,"Based on his podcast, comedian and former Saturday Night Live (1975) alumni Norm Macdonald and his sidekick Adam Eget sit down and chat with celebrity guests about their life, career and views in a somewhat unconventional and often irreverent way.","['Norm MacDonald, ', 'Adam Eget, ', 'Michael Keaton, ', 'Drew Barrymore']","3,643",United States,s4640,TV Show
King of Boys: The Return of the King,(2021),TV-MA,439 min,"Crime, Drama",6.2,"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness.","['Sola Sobowale, ', 'Efa Iwara, ', 'Titi Kuti, ', 'Nse Ikpe-Etim']",263,Nigeria,s199,TV Show
Little Big Women,(2020),TV-14,123 min,Drama,7.2,Family members grapple with the passing of their estranged father and the remnants of the life he led during his absence.,"['Joseph Chen-Chieh Hsu', '| ', '    Stars:', 'Shu-Fang Chen, ', 'Ying-Hsuan Hsieh, ', 'Vivian Hsu, ', 'Ke-Fang Sun']","2,392",Taiwan,s1341,Movie
Full Count,(2019),TV-PG,110 min,"Drama, Fantasy, Sport",5.6,Life throws a young baseball player a serious curve ball when he has to abandon his college baseball aspirations to deal with a tragedy that puts the fate of his family and their farm in jeopardy.,"['Robert Eagar', '| ', '    Stars:', 'John Paul Kakos, ', 'Natalia Livingston, ', 'E. Roger Mitchell, ', 'Rick Hearst']",664,United States,s2888,Movie
Travis Scott: Look Mom I Can Fly,(2019),TV-MA,84 min,"Documentary, Music",6.3,"'Travis Scott: Look Mom I Can Fly' traces the Houston rapper's rise to super-stardom, focusing on the months surrounding ASTROWORLD.","['White Trash Tyler, ', 'Isaac Yowman', '| ', '    Stars:', 'Kylie Jenner, ', 'Travis Scott, ', 'Stormi Webster']","4,728",United States,s3558,Movie
Awake: The Million Dollar Game,(2019),TV-PG,41 min,Game-Show,5.9,24 hours. Zero rest. 1 million dollars on the line. Awake: The Million Dollar Game.,"['James Davis, ', 'Russell Rope, ', 'Hayley Seat, ', 'Ikechukwu Mbagwu']",803,United States,s3746,TV Show
Staged Killer,(2019),TV-14,88 min,Thriller,3.6,"When a former co-host, Jake Everett, works his way back into the professional life of popular TV morning show host Naomi Spencer, the show's success skyrockets, but Naomi's personal life begins to fall apart.","['Christopher Ray', '| ', '    Stars:', 'Chrishell Stause, ', 'Nicole Bilderback, ', 'Jason Dolley, ', 'Darrin Dewitt Henson']",319,United States,s8080,Movie
45 rpm,(2019),TV-MA,50 min,"Drama, Music",7.2,The birth of a music label and three characters fighting for their dreams inside the complex inside the music industry.,"['Carlos Cuevas, ', 'Guiomar Puerta, ', 'Iván Marcos, ', 'Israel Elejalde']",521,Spain,s3576,TV Show
Millennials,(2018– ),TV-MA,60 min,"Comedy, Drama, Romance",4.3,"Centered around 3 couples lives in Argentina as they deal with life, personal problems, and each other. Three boys work in the same office and each of their girlfriends end up becoming ...                See full summary »","['Laura Laprida, ', 'Johanna Francella, ', 'Juan Manuel Guilera, ', 'Matías Mayer']",164,Argentina,s710,TV Show
Amy Schumer: The Leather Special,(2017 TV Special),TV-MA,57 min,Comedy,3.1,"Three minutes into her set, Amy Schumer claims that all good comedians have a ""leather special,"" where they wear all leather and regret it later in their careers--this is hers. Amy muses on...                See full summary »","['Amy Schumer', '| ', '    Stars:', 'Amy Schumer, ', 'Kim Caramele']","9,988",United States,s5583,Movie
All the Freckles in the World,(2019),TV-14,91 min,"Comedy, Romance, Sport",5.2,"""All the Freckles in the World,"" set in 1990s Mexico City, is the story of a young-teen boy who is trying to get the attention of the prettiest girl at his school.","['Yibran Asuad', '| ', '    Stars:', 'Hanssel Casillas, ', 'Daniel Haddad, ', 'Anajosé Aldrete Echevarria, ', 'Mauricio Arvizu']","1,313",Mexico,s3047,Movie
Jenni Rivera: Mariposa de Barrio,(2017– ),TV-MA,45 min,"Drama, Musical",7.2,"The inspiring and poignant story will follow in the footsteps of Jenni Rivera towards a dream of fame; An autobiographical journey from birth, based on her book ""Unbreakable"", as well as ...                See full summary »","['Gabriel Porras, ', 'Rosalinda Rodríguez, ', 'Angélica Celaya, ', 'Adrian Carvajal']",247,United States,s1458,TV Show
1920,(2008),Unrated,138 min,"Horror, Mystery, Romance",6.4,"After forsaking his family and religion, a husband finds his wife is demoniacally possessed.","['Vikram Bhatt', '| ', '    Stars:', 'Rajneesh Duggal, ', 'Adah Sharma, ', 'Anjori Alagh, ', 'Raj Zutshi']","3,555",India,s5963,Movie
Trial 4,(2020),TV-MA,437 min,"Documentary, Crime",7.4,"Charged as a teen in the 1993 killing of a Boston cop, Sean K. Ellis fights to prove his innocence while exposing police corruption and systemic racism.","['Sean Ellis, ', 'Rosemary Scapicchio, ', 'Edward McNelley, ', 'Mary Jackie Ellis']","2,124",United States,s1719,TV Show
The Bleeding Edge,(2018),TV-14,99 min,Documentary,7.6,A look at the unforeseen consequences of advanced technological devices used in the medical field.,"['Kirby Dick', '| ', '    Stars:', 'Robert Bridges, ', 'Angie Firmalino, ', 'Rita Redberg, ', 'Stephen Tower']","2,765","Australia, United States",s4754,Movie
The Rachel Divide,(2018),TV-MA,100 min,Documentary,6.3,Rachel Dolezal becomes a social phenomenon when she passes herself off as an African American and becomes the head of her local N.A.A.C.P. chapter.,"['Laura Brownson', '| ', '    Stars:', 'Rachel Dolezal, ', 'Franklin Dolezal, ', 'Izaiah Dolezal, ', 'Esther Dolezal']","2,600",United States,s4912,Movie
Görümce,(2016),TV-MA,109 min,"Comedy, Family, Romance",5.0,A couple decides to tie the knot and has to whether the storm that is the groom's older sister.,"['Kivanç Baruönü', '| ', '    Stars:', 'Gupse Ozay, ', 'Bugra Gülsoy, ', 'Eda Ece, ', 'Zeynep Kankonde']","3,229",Turkey,s2617,Movie
Inside the Criminal Mind,(2017– ),TV-MA,52 min,"Documentary, Crime",5.4,Inside the Criminal Mind- a gripping exploration exposing the psychological machinations and immoral behavior that define the most nefarious criminal types. Every episode of the series ...                See full summary »,"['Antonio Pedro, ', 'Olina Valdmanova, ', 'Geoffrey Martin, ', 'Eva Ruzickova']","1,045","United States, Czech Republic",s4674,TV Show
Misfit,(2017),TV-14,86 min,"Comedy, Family",4.3,"Moving back to her native Netherlands after years of living in the United States, a teenage girl navigates the intricacies of Dutch high school life.","['Erwin van den Eshof', '| ', '    Stars:', 'Djamila, ', 'Bente Fokkens, ', 'Niek Roozen, ', 'Jolijn Henneman']",419,Netherlands,s3627,Movie
The Present,(II) (2020),TV-MA,24 min,"Short, Drama",7.6,"On his wedding anniversary, Yusef and his young daughter set out in the West Bank to buy his wife a gift. Between soldiers, segregated roads and checkpoints, how easy would it be to go shopping?","['Farah Nabulsi', '| ', '    Stars:', 'Saleh Bakri, ', 'Maryam Kanj, ', 'Mariam Basha, ', 'Ameer Khlawe']","3,225","United Kingdom,",s1193,Movie
Switched,(2018),TV-MA,35 min,"Drama, Sci-Fi",7.1,"In this sci-fi teen drama based on a Japanese comic book series, 2 high school girls swapped bodies. After the unattractive girl switched with a cute popular girl, she refused to switch back.","['Kaya Kiyohara, ', 'Daiki Shigeoka, ', 'Tomohiro Kamiyama, ', 'Miu Tomita']","1,460",Japan,s4742,TV Show
Cagaster of an Insect Cage,(2020),TV-MA,29 min,"Animation, Action, Drama",6.1,Insects that eat people. A girl with secrets in her past. A young exterminator who's almost too good at his job.,"['Aleks Le, ', 'Todd Haberkorn, ', 'Ryan Bartley, ', 'Kim Strauss']",665,Japan,s2946,TV Show
Engineering Girls,(2018– ),TV-MA,20 min,"Comedy, Drama",6.8,"Three engineering students deal with dorm drama, date around, and do whatever it takes to make their dreams come true.","['Barkha Singh, ', 'Kritikka Avasthi, ', 'Sejal Kumar, ', 'Abhinav Anand']","1,537",India,s3465,TV Show
Baggio: The Divine Ponytail,(2021),TV-MA,91 min,"Biography, Drama, Sport",6.1,"Biographical film about Italian footballer Roberto Baggio, a man who inspired entire generations to play football. A unique footballer, capable of thrilling fans all over the world.","['Letizia Lamartire', '| ', '    Stars:', 'Andrea Arcangeli, ', 'Valentina Bellè, ', 'Thomas Trabacchi, ', 'Andrea Pennacchi']","4,529",Italy,s841,Movie
Darc,(2018),TV-MA,97 min,"Action, Crime, Thriller",5.8,"To bring down a global human trafficking ring, an Interpol agent recruits the help of a brutal criminal with inside knowledge of the yakuza.","['Julius R. Nasso', '| ', '    Stars:', 'Tony Schiena, ', 'Armand Assante, ', 'Kippei Shîna, ', 'Shô Ikushima']","4,541",United States,s4889,Movie
Little Boxes,(2016),Not Rated,84 min,"Comedy, Drama",5.9,"An interracial family struggles to adjust when they move from New York City to a small, predominately white town in Washington State.","['Rob Meyer', '| ', '    Stars:', 'Melanie Lynskey, ', 'Nelsan Ellis, ', 'Armani Jackson, ', 'Oona Laurence']","2,046",United States,s5454,Movie
Trixie Mattel: Moving Parts,(2019),TV-MA,91 min,Documentary,7.3,Trixie charmed audiences and judges as winner of RuPaul's Drag Race All Stars. But the grind of performing and the pressure of the title proves that heavy is the head that wears the tiara.,"['Nicholas Zeig-Owens', '| ', '    Stars:', 'Trixie Mattel, ', 'Benjamin Putnam, ', 'Caldwell Tidicue, ', 'Jaymes Mansfield']","2,028",United States,s8632,Movie
Who Killed Little Gregory?,(2019),TV-MA,60 min,"Documentary, Crime, Mystery",7.4,"When their 4-year-old son is murdered, a young couple fights a twisting and arduous battle trying to identify a frustratingly elusive killer.","['William Salyers, ', 'Jayne Taini, ', 'Page Leong, ', 'Peter James Smith']","3,001",France,s3256,TV Show
My Perfect Romance,(2018 TV Movie),PG,91 min,Romance,4.6,"Robinson Tech is launching a new dating service, but when its CEO, Wes Robinson and tech developer, Vivian Blair are challenged on Live TV to test the service themselves, the algorithm shows some interesting results.","['Justin G. Dyck', '| ', '    Stars:', 'Lauren Holly, ', 'Jodie Sweetin, ', 'Morgan Fairchild, ', 'Christopher Russell']","3,096",Canada,s4892,Movie
Detention,(2020– ),TV-MA,50 min,"Drama, Horror, Mystery",6.3,A tormented student uncovers unsettling secrets at her remote high school as betrayal and a paranormal encounter upend her life.,"['Lee Ling-Wei, ', 'Guan-Zhi Huang, ', 'Chun-Yao Yao, ', 'Kwang-hoon Na']",534,Taiwan,s1588,TV Show
The House Arrest of Us,(2020–2021),TV-PG,1 Season,"Comedy, Romance",5.5,A couple decides to make their engagement official by honoring tradition when a pandemic forces them and their families to quarantine under one roof.,"['Kathryn Bernardo, ', 'Daniel Padilla, ', 'Herbert Bautista, ', 'Ruffa Gutierrez']",124,Philippines,s1361,TV Show
