title,year,certificate,duration,genre,rating,description,stars,votes,country,show_id,type
Night in Paradise,(2020),TV-MA,131 min,"Action, Crime, Drama",6.7,"Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.","['Park Hoon-jung', '| ', '    Stars:', 'Tae-goo Eom, ', 'Jeon Yeo-bin, ', 'Seung-Won Cha, ', 'Dong-in Cho']","6,998",South Korea,s1086,Movie
After Porn Ends,(2012),Not Rated,94 min,Documentary,5.7,An exploration of the lives of several former adult performers who have retired from the porn industry.,"['Bryce Wagoner', '| ', '    Stars:', 'Amber Lynn, ', 'Asia Carrera, ', 'Bobby Slayton, ', 'Crissy Moran']","7,923",United States,s6096,Movie
The Dawn Wall,(2017),Not Rated,100 min,"Documentary, Biography, Sport",8.1,"In an unbelievable story of perseverance, free climber Tommy Caldwell and climbing partner Kevin Jorgeson attempt to scale the impossible 3000ft Dawn Wall of El Capitan.","['Josh Lowell, ', 'Peter Mortimer', '| ', '    Stars:', 'John Branch, ', 'Tommy Caldwell, ', 'Kevin Jorgeson']","19,774","Austria, United States",s8271,Movie
What Keeps You Alive,(2018),R,98 min,"Horror, Thriller",5.7,"Majestic mountains, a still lake and venomous betrayals engulf a female married couple attempting to celebrate their one-year anniversary.","['Colin Minihan', '| ', '    Stars:', 'Hannah Emily Anderson, ', 'Brittany Allen, ', 'Martha MacIsaac, ', 'Joey Klein']","8,784",Canada,s2184,Movie
The Way of the Househusband,(2021– ),TV-14,16 min,"Animation, Action, Comedy",7.3,A retired gangster spends his time as a househusband carrying out home chores.,"['Kenjirô Tsuda, ', 'Shizuka Itô, ', 'Kazuyuki Okitsu, ', 'Keith Silverstein']","4,437",Japan,s1092,TV Show
Earthquake Bird,(2019),R,107 min,"Crime, Drama, Mystery",5.9,"An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead.","['Wash Westmoreland', '| ', '    Stars:', 'Alicia Vikander, ', 'Kiki Sukezane, ', 'Kenichi Masuda, ', 'Chiaki Kawamo']","14,672","United Kingdom, Japan, United States",s3265,Movie
Message from the King,(2016),R,102 min,"Action, Crime, Drama",6.4,"A mysterious outsider from South Africa, named Jacob King, arrives in Los Angeles to look for his missing younger sister.","['Fabrice du Welz', '| ', '    Stars:', 'Chadwick Boseman, ', 'Luke Evans, ', 'Alfred Molina, ', 'Teresa Palmer']","16,665","United Kingdom, France, Belgium, United States",s5345,Movie
Players,(2022),TV-14,162 min,"Comedy, Romance",,"New York sportswriter Mack who spent years devising successful hook-up ""plays"" with best friend Adam and crew, unexpectedly falls for one of the targets and learns what it takes to go from simply scoring to playing for keeps.","['Trish Sie', '| ', '    Stars:', 'Tom Ellis, ', 'Augustus Prew, ', 'Gina Rodriguez, ', 'Damon Wayans Jr.']",,India,s2286,Movie
The Trials of Gabriel Fernandez,(2020),TV-MA,331 min,"Documentary, Crime",8.1,"Filmmaker Brian Knappenberger investigates the tragic death of an 8-year-old California boy who endured horrific abuse by his mother and her boyfriend, along with the fractured and complex systems that failed to protect him.","['William Guirola, ', 'Wyatt Hinz, ', 'Alfredo Tavares, ', 'Adam Saunders']","11,687",United States,s2884,TV Show
The Returned,(2015),TV-14,42 min,"Drama, Fantasy, Horror",7.0,A small town's residents are stunned when recently deceased locals begin returning from the dead. What should be a miracle soon becomes a nightmare.,"['Kevin Alejandro, ', 'Agnes Bruckner, ', 'India Ennenga, ', 'Sandrine Holt']","11,908",France,s8483,TV Show
